Réseau Social,Class,Commentaire client,category,urgent
Facebook,Retards d’installation ou de mise en service,"ان شاءالله تكونو وفرتو أجهزة المودام في باتنة شحال من شهر واحنا رانا نستناو!!! ",negative,1
Instagram,Retards d’installation ou de mise en service,زعما جابو المودام ؟,interrogative,1
Facebook,Retards d’installation ou de mise en service,ياودي لحقنا للعين و ما شربناش باطة عند الباب واصلة هاذي 4 شهور وما بان عليكم حتى خبر 路,negative,1
Facebook,Retards d’installation ou de mise en service,"ايه وراه المشكل جات عليكم هاحنا نستناو ",negative,1
Facebook,Retards d’installation ou de mise en service,وفرو أجهزة مودام الباقي ساهل !,negative,1
Facebook,Retards d’installation ou de mise en service,جيبولنا لمودام رانا في عام نسناو ,negative,1
Facebook,Retards d’installation ou de mise en service,من ذاك العام وحنا ننتظرو,negative,1
Facebook,Retards d’installation ou de mise en service,رانا نستناوووو ....,negative,1
Facebook,Retards d’installation ou de mise en service,لا زلنا بانتظار ربط خطنا بالألياف البصرية..,negative,1
Facebook,Retards d’installation ou de mise en service,انا عندي 8 اشهر وانا داير دوموند وليمودام مكانش صاي مشني حايب الفيبر اسك نقدر نلغي الطلب؟!,interrogative,0
Facebook,Retards d’installation ou de mise en service,"Cité Marhaba braki sa fait plus de 4 mois installation des boîtes par le privé mais aucun suite pour l, installation a la maison",negative,1
Facebook,Retards d’installation ou de mise en service,انا دفعت ملف الربط أكثر من خمسة أشهر ولم يتم الاتصال بي هل من تفسير مع العلم أنا من ولاية سطيف,interrogative,1
Facebook,Retards d’installation ou de mise en service,وين راهم ليمودام رانا عدنا 4 شهور ملي درا دوموند قاع الحومة ومزال,negative,1
Facebook,Retards d’installation ou de mise en service,اودي عطيتولي مودام وعطو لخيط وراه في 6شهور مركبوش الفايبير تمسخير,negative,1
Facebook,Retards d’installation ou de mise en service,شحال وحنا مسجلين المشكل نقص حاد فى المودام,negative,1
Facebook,Retards d’installation ou de mise en service,Depuis un an et demi qu'on a installé w ma kan walou,negative,1
Twitter,Retards d’installation ou de mise en service,اكثر من 3 أشهر من وضع الملف وتسديد رسوم الاشتراك الى يومنا هذا مكانش تجاوب من طرف اتصالات الجزائر بئرتوته ان شاء الله الانشغال يوصل للمعنين,negative,1
Facebook,Retards d’installation ou de mise en service,والله فوق السنة وكل شيئ موجود لكن مودم فيبر لا يوجد اين الخلل,negative,1
Facebook,Retards d’installation ou de mise en service,لدينا تقريبا شهر ملي درنا عندكم موعد اشتراك للمودام مي لهذي الساعة مكان والو كي شغل درتونا تمسخيرة ,negative,0
Facebook,Retards d’installation ou de mise en service,اعطونا المودام برك عادلنا 4شهر وحنا نستنوا سجلنا في العرض السابق ومكان والوا .... الى متى؟,interrogative,1
Facebook,Retards d’installation ou de mise en service,ستة أشهر وأنا انتظر في المودام العجيب مازال مالحقش,negative,1
Facebook,Retards d’installation ou de mise en service,نستتناو ١٠ اشهر اخري لعدم التزامكم و لاحترافية,negative,1
Facebook,Retards d’installation ou de mise en service,ياو مكانش لي مودام. منين نروح يقوليلي مازال مكانش,negative,0
Facebook,Retards d’installation ou de mise en service,لي مودام مكانش جد نوكيا راه مقطوع ديرونا في بلاصتو هواوي او ريحونا,negative,0
Facebook,Retards d’installation ou de mise en service,Les modems sont pas disponibles. On attend toujours.,negative,0
Facebook,Retards d’installation ou de mise en service,مشكل انو مودام مكانش راني في شهر ملي تقدمة وكالة درت طلب,negative,1
Facebook,Retards d’installation ou de mise en service,شركة بحجم Algérie Télécom - إتصالات الجزائر ماعندهاش لي مودام... منذ عام كامل و مازال.... ؟! من غير المعقول.!,interrogative,1
Facebook,Retards d’installation ou de mise en service,ههههه هههه المودام غير متوفر مند 6 اشهر او اكثر,negative,1
Facebook,Retards d’installation ou de mise en service,دفعنا حق الربط منذ عامين ولم يوصل,negative,1
Facebook,Retards d’installation ou de mise en service,مودام مكانش عندكم,negative,0
Facebook,Retards d’installation ou de mise en service,يا ودي وين راه المودم فيبر ؟ مجاني و لا غير مجاني .... وقتاش تجيبو مودم فيبر رانا في عام نستنوا ... هرمنا,interrogative,1
Facebook,Retards d’installation ou de mise en service,جيبو لي مودام و مبعد جيبو العرض,negative,0
Facebook,Retards d’installation ou de mise en service,عندنا أكثر من خمس أشهر وحنا نستناو في المودام,negative,1
Facebook,Retards d’installation ou de mise en service,7 اشهر نستناو لمودام الياف بصرية حرام عليكم.,negative,1
Facebook,Retards d’installation ou de mise en service,وفرنا ليمودام ومبعد دير العروض,negative,0
Facebook,Retards d’installation ou de mise en service,هدا المودام راني نشوف فيه غير بالمعريفة حنا منستهلوش,negative,1
Facebook,Retards d’installation ou de mise en service,مودام وفرتوه ولا لا ؟,interrogative,1
Facebook,Retards d’installation ou de mise en service,Pub sans modems... Puffff,negative,0
Facebook,Retards d’installation ou de mise en service,عرض بلا مودام تصرا غير في دزاير هههههه,negative,1
Facebook,Retards d’installation ou de mise en service,عملية الربط ( تمشي كيما السلحفاة ),negative,1
Facebook,Retards d’installation ou de mise en service,le problème ou sont ses modems ca devient très long pour les acquérir,negative,1
Facebook,Retards d’installation ou de mise en service,وين راكم رانا في 03 اشهر وحنا نستناو ديتو الوثائق المطلوبة ودرتو الاسلاك من هذاك الوقت ماوليتوش,negative,1
Facebook,Retards d’installation ou de mise en service,وفرو المودام السااع مباعد ديرو العروض,negative,0
Facebook,Retards d’installation ou de mise en service,جيبولنا مودامmasqu,negative,1
Facebook,Retards d’installation ou de mise en service,تم توصيل حينا بالالياف البصرية منذ مدة ولكن لم يتم اطلاق الخدمة !!! لم نفهم ماهو السبب,negative,1
Facebook,Retards d’installation ou de mise en service,كي تروح تسجل يقولولك مكانش لي مودام يخي حالة يخي,negative,0
Facebook,Retards d’installation ou de mise en service,شركة فاشلة استغلت الانفرادية في السوق الوطني لكنها ليس لها المهنية الكافية ان عن نفسي دفعث كل التكاليف منذ شهر اوت لكن لاشيء والمضحك أنه بعد عدة شكاوي المسؤول اذا كان مسؤول أصلا يرد الشركة التي تربط الانترنت فييبر ليس لديها الوقت وانتظر هناك زبائن منذ … En voir plus,negative,0
Facebook,Retards d’installation ou de mise en service,والله مانا فاهمين شيء في هذا العرض انتم تقولوا اشتركوا في هذا العرض والوكالة تقول ماكانش المودام في الوقت الحالي ....حيرتونا معاكم,negative,0
Facebook,Retards d’installation ou de mise en service,4شهر وحنا نستناو فالمودام تقول راح يجيبوه مالمريخ,negative,1
Facebook,Retards d’installation ou de mise en service,جيبولنا المودام ومن بعد احكيوا,negative,0
Facebook,Retards d’installation ou de mise en service,3 أشهر من الي شريت المودام. واحد ماجاليا ولا سقسا عليا . راه في الكرطونة ديالو جديد,negative,1
Facebook,Retards d’installation ou de mise en service,وينو المودام يرحم والديكم,negative,0
Instagram,Retards d’installation ou de mise en service,السلام عليكم و رحمة الله ، في براقي راهم دارو للديور اللي قريب لينا بصح مزال ماطلقوهاش ، حبيت نعرف ادا يطلقوها ولا لازم حتى يديروها عندنا باه يطلقوها في نفس الوقت ؟,interrogative,1
Instagram,Retards d’installation ou de mise en service,لحد الساعة لم يتم جلب مودام الالياف البصرية,negative,1
Facebook,Retards d’installation ou de mise en service,عندنا مدة واحنا نستناو في مودام تاع الياف البصرية غير موجود ... فما ذا تعيدون .....,negative,1
Facebook,Retards d’installation ou de mise en service,باينة كاش عرض لجماعة الفيبر هههه ياااااو وفرو لي مودام ومن بعد ديرو العروض الواحد راه كره من الانتظار,negative,0
Facebook,Retards d’installation ou de mise en service,اطلقو لي موادام 4 جي راهم يتباعو الدوبل على سومتهم,negative,0
Facebook,Retards d’installation ou de mise en service,جيبونا لمودام تاع لافيبر حي نحينح محمد خزارة ولاية قالمة,negative,1
Facebook,Retards d’installation ou de mise en service,المودام مكانش في ورڨلة,negative,1
Facebook,Retards d’installation ou de mise en service,ياو هرمنا واحنا نستناو المودام,negative,0
Facebook,Retards d’installation ou de mise en service,عندي شهرين ملي درت طلب جيراني دخلتولهم بقيت غير انا,negative,1
