Réseau Social,Class,Commentaire client,category,urgent
Twitter,Déploiement de la fibre,"يا اتصالات الجزائر راهم عندهم من 1 جانفي ملي حفرو وين نسكن انا لحد الان مزال ما جاوش درو لفيبر مع انو المكان لي قدامنا ڨاع عندهم ",negative,1
Facebook,Déploiement de la fibre,Algérie Télécom - إتصالات الجزائر نتمنى تكملو في ايسطو وهران في اقرب وقت رانا نعانو مع ADSL,suggestion,1
Facebook,Déploiement de la fibre,Algérie Télécom - إتصالات الجزائر بينا وبين الخط شارع واحد لاكن لاحياة لمن تنادي كل مرة نتصلو بيكم ونروحو للوكالة نفس الحجة ونفس العذر مزال مقاول مبداش بلدية رغاية,negative,1
Facebook,Déploiement de la fibre,المشروع متوقف منذ اشهر,negative,1
Facebook,Déploiement de la fibre,Algérie Télécom - إتصالات الجزائر وين الجهود احدادن اكبر منطقة في بجاية اكثر كثافة سكانية و الفيبر منعدم و نتوما تقولو نكثف الجهود,negative,0
Facebook,Déploiement de la fibre,"يهديكم ربي وصلولنا شبكة الهاتف سكان سليم 2وادسلي ولاية الشلف ",negative,0
Facebook,Déploiement de la fibre,نحن مازلنا ننتظر الألياف البصرية ونحن داخل المدينة,negative,1
Facebook,Déploiement de la fibre,"هي ربط سكان حي الجزيرة 126 مسكن مقابل العيادة ولاية تمنراست بالشبكهي ربط سكان حي الجزيرة 126 مسكن مقابل العيادة ولاية تمنراست بالشبكة ة ",negative,0
Facebook,Déploiement de la fibre,ولايةالطارف الذرعان مكانش غير في زوز احياء,negative,0
Facebook,Déploiement de la fibre,"Rana f des années n9ara3 la fibre walou ",negative,1
Facebook,Déploiement de la fibre,"الفيبر وماكانش، هذاك هو المهم، انه حلم بعيد المراد في مدينتي ",negative,0
Facebook,Déploiement de la fibre,مشروع سنة 2003يعني 21سنة ولم ينجز 21 سنة ولم يبدأ بعد يا اتصالات الجزائر بما تفسرون هذا,negative,1
Facebook,Déploiement de la fibre,مشروع ألياف البصرية على مستوي حي البريجة سطاوالي متوقف منذ شهر سبتمبر 2024.,negative,1
Facebook,Déploiement de la fibre,يدرا واش من جديد الالياف البصرية ومزال ما لحڨتناش واش ننتظرو,negative,0
Facebook,Déploiement de la fibre,السلام عليكم يا اتصالات الجزائر خسرتو دراهم وعمال وركبتو الألياف البصرية ولحد الساعة واحد ما استفاد منها .....عنابة.... شارع بلعيد بلقاسم,negative,0
Facebook,Déploiement de la fibre,ما هو الجديد وانا مزال ماعنديش الفيبر رغم الطلب ولالحاح,negative,1
