Réseau Social,Class,Commentaire client,category,urgent
Facebook,Réclamation service,رانا في ثلاث اشهر جيبونا تقنيين لعمارة 4 حي 1299 مسكن بابا علي قالك نتاع بئر توتة ماعرفناش مشكل وحطو كفاءات في تلك مصلحة,negative,1
Facebook,Réclamation service,عرض 20 ميجا نحيوه مدام مش قادرين تعطيونا حقنا لاه نسلك 220 وتلحقني غير 10 ميجا,negative,0
Facebook,Réclamation service,نقص في أجهزة المودام الجيل الأخير في بجاية وكالة القصر,negative,1
Facebook,Réclamation service,اكتشفنا و ننتظر تكتشفوا انكم حرمتمونا من الاستفادة و خليتونا حاصلين في الاسلاك الشائكة,negative,1
Facebook,Réclamation service,Cortex Sofiane شركة ماعندها حتى مصداقية انا 20 ميجا تلحقني 10,negative,0
Facebook,Réclamation service,مودام 4g غير متوفر .,negative,1
Facebook,Réclamation service,كنت راح نشري مودم 4g حبستوني راني نستنى,negative,1
Facebook,Réclamation service,جيبولنا لمودام zte,negative,1
Facebook,Réclamation service,شركتكم أصبحت تهتم فقط بمشتركي Fibre !!!,negative,1
Facebook,Réclamation service,مودام فيبر غير متوفر على مستوى وكالة أم البواقي,negative,1
Facebook,Réclamation service,عن أي جديد تتكلم وأنا أعاني منذ مدة من نقص كبير في التدفق من 20 مقا تصلني بين 3 مقا الي 6 مقا في بعض الاحيان مع تقطعات مملة رغم الشكاوي العديد لي مصلحتكم علي الرقم 100 للأسف ولا يوجد أي تدخل و هذا الشهر الثاني و أنا أعاني,negative,1
Instagram,Réclamation service,Adsl . Help help,negative,0
Instagram,Réclamation service,كرهت وانا نسنا ف adsl هاشوفو فينا اسيدي,negative,0
Facebook,Réclamation service,اعطونا غي حقنا نخلصو 500 ميغا توصلك 360 ميغا,negative,0
Facebook,Réclamation service,"4g lte معاناة وعذاب ",negative,0
Facebook,Réclamation service,"لماذا التغيير في الرقم بدون تغيير سرعة التدفق هل من أجل الإشهار وفقط انا غير من 50 ميغا إلا 200 ميغا نظريا تغيرت وفي الواقع بقت قياس أقل من 50 ميغا ",negative,0
Facebook,Réclamation service,"تفكرونا جماعة النحاس رانا مازال نستنو ",negative,0
Facebook,Réclamation service,"اطلقو النات لدارنا راهم رايحين يبلوكيوني قالولي ماعدش تعيط ",negative,1
Facebook,Réclamation service,"لا أريد منكن أي شيء سوى تحسنوا لنا التدفق يا خويا راني نخلص 20 ميقا أعطوهالي بدون تقطعات فقط . ",negative,0
Facebook,Réclamation service,"إتصالات الجزائر و تستمر المعانات  شكرا إتصالات الجزائر على بطئ الإنترنت إنها حقا مدهلة ADSL أسرع من السلحفاة بقليل وهدا تقدم ملحوض بنسبت لي   اتمنى ان نحصل على الفيبروبتيك في حيينا إنها موجودة لكن غير موجودة هي معادلة بسيطة تدركها إتصالات الجزائر و تستمر المعانات   تحية كبيرة لإتصالات الجزائر الماهرة في التسويق فكلما أقسمت أني لن أشحن مرة أخرى أجد نفسي داهبا بلا إرادة إلى الوكالة التجارية لإعادة الشحن و دفع فتورة الثابث  حقا إنكم اباطرة الماركوتيغ ",negative,0
Facebook,Réclamation service,"انطلاق السلحفاة من جديد بخطوات ابطى والله العظيم نخلص في 200 الف شهريا و النت بطيء ",negative,0
Facebook,Réclamation service,Kamel Usm Annaba حنا بالألياف البصرية و قريب تروح ضعيفة بزاف,negative,0
Facebook,Réclamation service,لا يوجد اجهزة المودام ما هوا السبب لقد طال الإنتظار,negative,1
Facebook,Réclamation service,تم التوصيل لباب الدار.لكن هذي شهور وحنا نستناو في المودام.عملية تجارية بحثة المستفيد اتصالات الجزائر.إذالماذا كل هذا الإنتظار.,negative,1
Facebook,Réclamation service,"جيبو المودام الخاص بالالياف البصرية وممبعد ساهل الحال رانا في عام ومكانش ",negative,1
Facebook,Réclamation service,"نحن مازلنا ننتظر تتحل حكاية لي مودام لي مكانش ",negative,1
Facebook,Réclamation service,"حي لبشاش في ولاية بسكرة منذ عامين وحنى نستناو في المودام إنتاع الفيبر لحد الآن لا جديد يذكر للعلم ماعندناش الأنترنات لقديمة وشكرا ",negative,1
Facebook,Réclamation service,"ردونا الكونيكسيون القديمة و خلونا من الفيبر... رانا ثلاث اشهر هكاك ",negative,1
Facebook,Réclamation service,"اين هم اجهزة المودام لفد طال الإنتظار ",negative,1
Facebook,Réclamation service,"جيبولنا لي مودام برك تع الفيبر لا عروض لا والو ",negative,1
Facebook,Réclamation service,"جيبولنا المودام لي ماكانش ",negative,1
Facebook,Réclamation service,"اسعاركم مرتفعة ",negative,0
Facebook,Réclamation service,"مامصير 4G في المناطق النائية وعدة شكاوي مجاوبتنيش عليها ولا شفتكم جيتو جيهتنا ",negative,1
Facebook,Réclamation service,عدم الرد على شكوى في الموقع الخاص بكم تقطعات في الانترنت و البينك عالي كرهنا والله,negative,0
Facebook,Réclamation service,"رانا نستناو ",negative,0
Facebook,Réclamation service,"اتصلات الجزائر ربي يهديكم ديرولي الحال راه عندي مشكل هاتف فاكس ماعطل درنجمو شوفولي الحال نهار يصنعوها تعاود تحبس ضرك نقعد غير معاكم ولا كيفاه ",negative,1
Facebook,Réclamation service,"مودام فيبر مكانش في ولاية الجلفة ",negative,1
Facebook,Réclamation service,"جيبونا مودام ",negative,1
Facebook,Réclamation service,"ريقلونا 4g عيب عليكم ",negative,0
Facebook,Réclamation service,كي تقولي نكثف جهودنا رانا غير على بضع امتار من اللذين عندهم لافيبر حنا مازلنا بالadsl وفيها تقطعات و تدفق ضعيف جدا نخلص 20 ميڨا اوتلحقلي 2.9 ميڨا.,negative,0
Facebook,Réclamation service,نريد حجم التدفق الفعلي الذي ندفع ثمن إشتراكه و بس,negative,0
Facebook,Réclamation service,واش من جديد أعطونا حقنا في كونكسيو فقط مناش حابين زيادة راهي تروح بي أربعة أيام وين حقنا في ليام لي تروح,negative,1
Facebook,Réclamation service,واش من جديد راكم تهدر عليه حنا في اولاديعيش راني في 5 شهور بدون انترنت اوركم تهدر تبهديل كبيرة شركة واحدة لي فيها مشكل كبار ديرونا حل هد مكان,negative,1
Facebook,Réclamation service,لا يوجد مودام الفيبر منذ اكثر من ستة اشهر اين هو الجديد؟؟؟؟؟؟,negative,1
Facebook,Réclamation service,مشكلة عدم توفر المودام,negative,1
Facebook,Réclamation service,المودام مكانش رانا في 8 أشهر مخلصين و ماكان والو,negative,1
Facebook,Réclamation service,واش هو الجديد نحنا اشتراك تاع 300 ميغا و 500 ميغا مدرتولنا والوا,negative,0
Facebook,Réclamation service,نريد الفايبر من فضلكم قتلتلنا adsl بالانقطاعات,negative,0
Facebook,Réclamation service,واش من جديد يا اتصالاتنا طلبات درناها على مستوى الحي في 25 اوت رانا في الشهر ال4 في انتظار التوصيل الى منازل الحي . والا حابين تعرفو وين بالضبط نقلك . رانا في العاصمة,negative,1
Facebook,Réclamation service,راكم طولتو,negative,0
Facebook,Réclamation service,عادلي اكثر من شهرين كي حطيت طلب ومكاين والو,negative,1
Facebook,Réclamation service,الجديد اخدمولي الانترنت تاعي راهي من جويلية وهي حابسة,negative,1
Facebook,Réclamation service,dommage on n'a pas de fibre,negative,0
Facebook,Réclamation service,راني نتقدم الى المؤسسة بدائرة القرارة ولاية غرداية ولكن بدون تقديم الخدمة بحجة أن سكناتنا الوظيفية بمؤسسة متقن القرارة لا تتوفر على الربط بالفايبر ؟ والسكنات البعيد هنا تم ربطها في الصيف آلفارط ؟,negative,1
Facebook,Réclamation service,مشكل معندهاش اهلية نتع فيبر وقتا تبدلونا من أديسال لفيبر,negative,1
Facebook,Réclamation service,يتل وصلولنا الخيط ومبعدو ساهل,negative,0
Facebook,Réclamation service,معليش تدخلونا لفيبر خلي نشتركو,negative,0
Facebook,Réclamation service,Je paye pour 20 mega et voilà ce que je reçois mon débit est 69 kbps,negative,1
Facebook,Réclamation service,"عندي مشكل درت خط جديد عطوني شهر الاول مجاني ولما رحت نخلص الشهر ثاني مع العلم طلبت 20 ميغا وأنا وحدي في منزل مانصحقش اكثر ولما رحت نخلص قاتلي عندك تاع 200 ميغا وأنا هذا هو شهر الاول لي راح نخلص ماطلبتش 200 ميغا قاتلي ما عندي ما نديرلك عاملة تاع وكالة عين البنيان ",negative,1
Facebook,Réclamation service,El Moattaz Rechach عندي 300 ميغا هههه نخدم ب 35,negative,1
Facebook,Réclamation service,ياو جيبولنا الفيبر برك و في بلاصة 500 دج نمدولكم نحن 5000 دج,negative,0
