Réseau Social,Class,Commentaire client,category,urgent
Facebook,Suggestions et remarques constructives,Il va apporter bcp au secteur.,positive,0
Facebook,Suggestions et remarques constructives,"نقصوا الاسعار .بزااااف غالية ",negative,0
Facebook,Suggestions et remarques constructives,"عندي اقتراح عليكم.. علاه ماديروش في التطبيق تيعكم تع مايدوم خاصية التوقيف المؤقت للانترانات في عوض ماتروح للوكالة ودير توقيف مؤقت. ومثلا يكون عندك الحق مرتين في الشهر هكذا مايشقاش المشترك للوكالة ",suggestion,0
Facebook,Suggestions et remarques constructives,نقصوا فالاسعار,negative,0
Facebook,Suggestions et remarques constructives,ديرولنا بونيس تاع نهاية السنة,suggestion,0
Twitter,Suggestions et remarques constructives,"Il faut juste améliorer le débit de l,ADSL ",suggestion,0
Facebook,Suggestions et remarques constructives,Dirona 500 mb fi plasset 300mb,suggestion,0
Facebook,Suggestions et remarques constructives,علاه مديروش عروض تخفيضات لجماعة adsl لي هوما الاغلبية,suggestion,0
Facebook,Suggestions et remarques constructives,العمل على رفع سرعة الانترنت من المفروض أيضا يقابله مراجعة للأسعار باعتبار سرعة 50 ميغا كسرعة قاعدية بسعر 1500دج شهريا.,suggestion,0
Facebook,Suggestions et remarques constructives,ياريت ينقصو في اسعار الفايبر,negative,0
Facebook,Suggestions et remarques constructives,"ديرو بروموصيو ف لي مودام بلا ربط و لا لي روتار ",suggestion,0
Facebook,Suggestions et remarques constructives,نحتاجو طلعو دبيبي تاع idoom 4G الى سرعات عالية تصل الى 500ميغا على الاقل مع وضع اختيارات تدفق حسب الطلب مثلا عروض تبدأ من 40 ميغا الى 500ميغا و زبون حر في اختيارو حسب متطلباتو .ضعو هذا الاقتراح بعين الاعتبار و شكرا لكم اتصلات Algérie Télécom - إتصالات الجزائر,suggestion,0
Facebook,Suggestions et remarques constructives,اقترح رفع التدفق إلى 2 جيغا,suggestion,0
