Réseau Social,Class,Commentaire client,category,urgent
Facebook,Pannes et coupures générales,"رانا بلا تلفون ولا انترنت ",negative,1
Facebook,Pannes et coupures générales,"الانقطاع ",negative,1
Facebook,Pannes et coupures générales,ثلاثة اشهر بلا انترنت في سوق اهراس,negative,1
Facebook,Pannes et coupures générales,"شوفولنا الخدمة تاع المصالح التقنية في بوفاريكماراهم ايديرو والو الانترنات مقطوعة منذ 15 يوم ولا جديد بوينان ",negative,1
Facebook,Pannes et coupures générales,باينة فيها انقطاع,negative,1
Facebook,Pannes et coupures générales,Et la panne générale de la fibre AT ? Qui va la rembourser ?,interrogative,0
Facebook,Pannes et coupures générales,ياحصراه ماكان adsl ni fibre ماكان والو,negative,1
Facebook,Pannes et coupures générales,Algérie Télécom - إتصالات الجزائر الانترنت مقطوعة شهر ونتوما تقولو الفيبر تتمسخرو بينا,negative,1
Facebook,Pannes et coupures générales,Algérie Télécom - إتصالات الجزائر ADSL و ما راهيش كاينت قالك سرقو الكابل,negative,1
Facebook,Pannes et coupures générales,حسنوا التغطية في غرداية راها كارثة,negative,1
Facebook,Pannes et coupures générales,Idoom 4gباين غير معنيين بالأمر ,negative,0
Facebook,Pannes et coupures générales,تطبيقMy idoom راه حابس,negative,1
Facebook,Pannes et coupures générales,رنا في شهر بدون انترنت,negative,1
Facebook,Pannes et coupures générales,انا عندي اربعة اشهر بلا هاتف ولا انترنت بداعي العطل ولاكن الفواتير تصل ما فهمتش انا واش نخلص و انا ما عنديش التيليفون,negative,1
Facebook,Pannes et coupures générales,Adsl محبش يمشلي كونيكسيون خلاص ديرولنا انترنات مكانش اصلن رانا في نهارين,negative,1
Facebook,Pannes et coupures générales,ما عندنا الانترنيت ما نخلصوها من الدار,negative,1
Facebook,Pannes et coupures générales,المشكل فضاء الزبون لايعمل,negative,1
Facebook,Pannes et coupures générales,ارواحو اخدمونا الكونيكسيو رانا في 20 يوم بلا كونيكسيو تم تخريبها واشكينا وعيطنا واحد مايرد رانا مخلصين دراهم ماشي حشيش ,negative,1
Facebook,Pannes et coupures générales,تعالوا أصلحوا الأعطاب الموجودة في النواقل .,negative,1
Facebook,Pannes et coupures générales,هل تغلم ما عندنا ADSL,negative,1
Facebook,Pannes et coupures générales,علاه نحيتو كونكسيو,negative,1
Facebook,Pannes et coupures générales,لا يوجد انترنات هل الكل تعاني من هادا المشكل,interrogative,1
Facebook,Pannes et coupures générales,Algérie Télécom - إتصالات الجزائر انقطاع الانترنيت المفاجئ في حي عدل المطمر و نحن في ايام الامتحانات للاطفال.......... ارجو التدخل سريع لحل المشكل,negative,1
Facebook,Pannes et coupures générales,انعدام الانترنت باش قال نخلصوها مكانش قريب 15يوم تجي ربع ساعة وتروح,negative,1
Facebook,Pannes et coupures générales,Algérie Télécom - إتصالات الجزائر خط الهاتف و الانترنات من البارحة مقطوع لحد الان بومرداس و ضواحيها,negative,1
Facebook,Pannes et coupures générales,راكم تبهدل رنا في 5 شهور بدون انترنت في اولاديعيش ولاية البليدة,negative,1
Instagram,Pannes et coupures générales,قطعتوا الكونيكيسيون هادي أيام و مبان والو,negative,1
Facebook,Pannes et coupures générales,Il ya une copure d internet a birkhadem,negative,1
Facebook,Pannes et coupures générales,إنقطاع كلي شبه كامل للفيبر في بئرخادم هاذ المساء ...... شبعتونا خرشف,negative,1
Facebook,Pannes et coupures générales,Algérie Télécom - إتصالات الجزائر واشبيها كونيكسيو ليوم راحت قاع,negative,1
Facebook,Pannes et coupures générales,مع الأسف الكوناكسيو منعدمة تماما عندنا في عنابة وتقدمنا بشكاوي كثيرة الزمالة لكن لاحياة لمن النادي 凉,negative,1
Facebook,Pannes et coupures générales,ربع أشهر دون انترنت منزلي رغم الشكايات وتسميو رواحكم قوة,negative,1
Facebook,Pannes et coupures générales,أكثر من شهر معنديش الأنترنت شكيت ثلاث مرات للأسف,negative,1
Facebook,Pannes et coupures générales,عندنا انترنات مقطوعة فالروشي سيدي بلعباس جيهة سيتروان كل مرة يسرقو الكابل هل من حل ؟ للمرة الثالثة على التوالي الكابل يتسرق,interrogative,1
Facebook,Pannes et coupures générales,عندي مشكل في الهاتف الثابت عندي اسبوع و انا ريكلامي لا حياة لمن تنادي Algérie Télécom - إتصالات الجزائر,negative,1
Facebook,Pannes et coupures générales,خدمات رديئة جدا خاصة في نهاية الأسبوع.,negative,0
Facebook,Pannes et coupures générales,خدمة رديئة خاصة في نهاية الأسبوع.,negative,0
Facebook,Pannes et coupures générales,خلل في موقع فضاء الزبون,negative,1
Facebook,Pannes et coupures générales,هناك خلل عند الدخول الى الحساب الشخصي هل من حلول؟؟؟,interrogative,1
Facebook,Pannes et coupures générales,تقدمت بشكوى بخصوص الهاتف و لا جواب منذ أسابيع,negative,1
Facebook,Pannes et coupures générales,هناك عطب وخلل في تحديث تطبيق لا يتم الدخول الى حساب,interrogative,1
Facebook,Pannes et coupures générales,اكثر من شهرين بل انترنت بسبب انقطاع سلك الفيبر قدمت العديد من الشكاوي ولاكن لا رد ,negative,1
Facebook,Pannes et coupures générales,راه كاين تقطع في الأنترنت بشكل يومي ماهو الحل,negative,1
Facebook,Pannes et coupures générales,فضاء الزبون لا يعمل عبر الويب,negative,1
Facebook,Pannes et coupures générales,"فضاء الزبون متوقف ولا يعمل في موقع اتصالات الجزائر ",negative,1
Facebook,Pannes et coupures générales,الانترنت adsl مقطوعة عندنا بن داود غليزان,negative,1
Facebook,Pannes et coupures générales,يوجد خلل في السيت أين المشكل,interrogative,1
Facebook,Pannes et coupures générales,خدمات رديئة جدا تشترك ب20 ميڨا وفصح 4 متفوتش انت ولعندو 10 ميڨا كيفكيف ADSL فمتى تفرج ولم يبقى لنا الا تركيب المدام لنستفيد من خدمة الألياف البصرية فنحن ننتظر من قرابة السنة ولا حل في الأفق.,negative,0
Facebook,Pannes et coupures générales,خدمات رديئة جدا تشترك ب20 ميڨا وفصح 13 متفوتش انت ولعندو 10 ميڨا كيف كيف ADSL,negative,0
Facebook,Pannes et coupures générales,رانا نتالمو مع adsl في انتظار الفيبر,negative,0
Facebook,Pannes et coupures générales,نحن سكان 360 حي شعبية بلدية سيدي عمار دائرة الحجارة ولاية عنابة نعاني من انقطاع في شبكة الانترنت و الهاتف مند تقريبا 15 يوم .,negative,1
Facebook,Pannes et coupures générales,"المشتركين في خدمة adsl راها كارثة والله عيب عليكم شركة فاشلة بامتياز انا نخلص 20 ميڨا و لا اتحصل سوى على 7 او 8 ",negative,0
Facebook,Pannes et coupures générales,كدابين عندنا الفيبر و دايرين 1Go و متمشيش كامل 若,negative,1
Facebook,Pannes et coupures générales,مشكل كبير في مودام 4g شكون يعوض لينا الانترنات متوقفة تماما .,negative,1
Facebook,Pannes et coupures générales,فضاء الزبون متوقف ولا يعمل,negative,1
Facebook,Pannes et coupures générales,تطبيقكم ايدوم فيبر لا يعمل به خلل رغم التحديث . كذلك فضاء الزبون,negative,1
Facebook,Pannes et coupures générales,فضاء الزبون راه في اسبوع حابس,negative,1
Facebook,Pannes et coupures générales,فضاء الزبون حابس ريڨلو تطبيق,negative,1
Facebook,Pannes et coupures générales,الموقع غير شغال أين الخلل,negative,1
Facebook,Pannes et coupures générales,Espace client ne travaille pas,negative,1
Facebook,Pannes et coupures générales,Chakib Cheva حتى انا حابس,negative,1
Facebook,Pannes et coupures générales,Algérie Télécom - إتصالات الجزائر موقع فضاء الزبون معطل,negative,1
Facebook,Pannes et coupures générales,فضاء الزبون متوقف منذ اكثر من اسبوع يرجى اصلاحه,negative,1
Facebook,Pannes et coupures générales,عندنا مشكل في الإنترناث لا توجد من اليوم الأربعاء إلى السبت لاتوج ماهو المشكل..؟,interrogative,1
Facebook,Pannes et coupures générales,وشبيها كونكسيو مقطوعة سطيف كومبلي,negative,1
Facebook,Pannes et coupures générales,Boudjema Nedjari اوكل كيف كيف,negative,0
Facebook,Pannes et coupures générales,التطبيق تاعكم لايعمل,negative,1
Facebook,Pannes et coupures générales,إخدموا تطبيقكم و فضاء الزبائن راهم متوقفين على بزاف زبائنكم,negative,1
