Réseau Social,Class,Commentaire client,Commentaire modérateur,Date,category,urgent
Facebook,Espace Client + My Idoom,مشكل في 1.200جيق فيبر مدام نوكيا مخرج الانترنت 1جيق فقط كفاش راح تحلو هذا مشكل ومشكل ثاني فضاء الزبون ميمشيش مندو شهر,"""يرجى تزويدنا بمعلومات اكثر حول انشغالكم عبر مراسلتنا في الخاص نسعى الى ارضاء زبائننا الكرام من خلال تحسن و تطوير نوعية الخدمات و جودة الانترنت. دمتم اوفياء لاتصالات الجزائر ودمنا اقرب لزبائننا. شكرا لتفهمكم. ",45642.40754629629,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون علاه منقدروش نسجلو فيه رانا نرسلولكم في الخاص ومتجاوبوش علاه,"""لقد تمت مراسلتكم عبر الخاص ، شكراً لكم. ",45642.41052083333,negative,1
Facebook,Espace Client + My Idoom,هل موقع فضاء الزبون متوقف,"""يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم. ",45642.44994212963,interrogative,0
Facebook,Espace Client + My Idoom,تطبيق my idoom و فضاء الزبون متوقفان ماسبب,"""يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم. ",45642.45009259259,negative,1
Facebook,Espace Client + My Idoom,الشجرة التي تغطي الغابة : تطبيقكم my idoom و فضاء الزبون لا يعملان منذ أسابيع، بالرغم من التواصل معكم عدة مرات عبر المسنجر و لا حياة لمن تنادي,"""لقد تمت مراسلتكم عبر الخاص ، شكراً لكم. ",45642.45465277778,negative,1
Facebook,Espace Client + My Idoom,السلام عليكم لم أستطيع الدخول الى حسابي فضاء الزبون وماإيدوم من فضلكم ماهو الحل كل ماحاولت يطلع الميساج *Cette page n’est pas disponible pour le moment,نحيطكم علمًا بأن خدمة فضاء الزبون أصبحت متوفرة. إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45642.60083333333,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون راهو حابس عندو سمانة,نحيطكم علمًا بأن خدمة فضاء الزبون أصبحت متوفرة. إذا واجهتم أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يرجى التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45642.60302083333,interrogative,0
Facebook,Espace Client + My Idoom,حاب نفهم برك بقاولي 5 ايام من اشتارك و يخلاص و نعاود نخلص علاه حبستوه و رجعتو ADSL يعني لغباء هذا علاه حبس الفيدخلت فضاء زبون مزال 5 ايام رحت زهر شعلت ADSL بسك خليتو راكب صح مفيكمش لامان صبتو يمشي و انترنت كاين(و مكلاه تردو عليا ارسل معلوماتك في رسالة بسك تعييو نجو ليكم للمركز و تليكيدو و تقولو غير ايه ايه ساهل ),الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45642.60851851852,negative,1
Facebook,Espace Client + My Idoom,شكراً لكم، لقد تم حل المشكل لفضاء الزبون الخاص بحساب,نحن في خدمتكم نقوم بما في وسعنا لتلبية طلبات زبائننا الكرام شكرا لثقتكم بنا يسعدنا التواصل معكم ,45642.63459490741,positive,0
Facebook,Espace Client + My Idoom,لماذا لا يعمل فضاء الزبون,نحيطكم علمًا بأن خدمة فضاء الزبون أصبحت متوفرة. إذا واجهتم أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يرجى التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45642.67908564815,interrogative,0
Facebook,Espace Client + My Idoom,ياودي ها ريڨلونا فضاء الزبون وتطبيق my idoom,نحيطكم علمًا بأن خدمة فضاء الزبون أصبحت متوفرة. إذا واجهتم أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يرجى التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45642.83034722223,negative,1
Facebook,Espace Client + My Idoom,هل فضاء الزبون لايعمل,نحيطكم علمًا بأن خدمة فضاء الزبون أصبحت متوفرة. إذا واجهتم أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يرجى التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45642.83049768519,interrogative,0
Facebook,Espace Client + My Idoom,"Algérie Télécom - إتصالات الجزائر فضاء الزبون و تطبيق my idoom ",اذا كنتم تواجهون اي خلل يتعلق بخدمة My idoom او فضاء الزبون فبامكانكم التواصل معنا عبر الخاص لنتمكن من تقديم المساعدة ,45643.75557870371,negative,0
Facebook,Espace Client + My Idoom,",فضاء الزبون خارج الخدمة منذ وقت طويل، هل من توضيح؟ ارجو عدم نسخ و لصق الجواب المعياري الذي تستخدمونه لكل الأسئلة","masquer ",45643.77165509259,interrogative,0
Facebook,Espace Client + My Idoom,هل هذا استهزاء بالزبائن ام ماذا فضاء الزبون عنده تقريب شهر وهو خارج الخدمة و لم تقوموا بتصليح الخلل و الان تطلبون من الزبون ايفاءكم بمعلوماته رغم انكم تدرون انه خلل عند كل الزبائن و معظمنا قام بالاتصال بكم من اجل ايجاد حل .,"masquer ",45644.48726851852,negative,0
Facebook,Espace Client + My Idoom,فضاء الزبون قرابة 20 يوم متوقف!!!!!!؟؟؟؟؟," إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة",45644.52690972222,negative,0
Facebook,Espace Client + My Idoom,فهمونا كيفاش نبدلو رقم الهاتف في فضاء الزبون بعد تغيير الرقم من ADSL الى fibre ولا ما درتوش حسابها," ندعوك لتقديم كافة المعلومات الخاصة بحسابك عبر الخاص لنتمكن من تقديم المساعدة +masquer ",45644.53052083333,interrogative,1
Facebook,Espace Client + My Idoom,فضاء الزبون مغلوووقالموقع الإلكتروني معطلMy idoom معطلآه يا بلادي آه 蠟," إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة+masquer ",45644.53210648148,negative,1
Facebook,Espace Client + My Idoom,العام و الخاص يعلم بان تطبيق my idoom وحتى موقع فضاء الزبون لا يعملان منذ مدة و الاجابة أرسل معلوماتك في الخاص عوض إصلاح الخلل....,"masquer ",45644.53342592593,negative,0
Facebook,Espace Client + My Idoom,فضاء الزبون لاتصالات الجزائر به خلل، لا يفتح عندي منذ عدة ايام," إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة",45644.53894675926,negative,1
Facebook,Espace Client + My Idoom,عندي مشكل مع فضاء الزبون لا استطيع الدخول لحسابي ,ة. إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45644.5658912037,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون لا يعمل معي منذ أكثر من شهر,"ندعوكم للتواصل معنا عبر الخاص قصد تزويدنا بمعلومات أوفر فيما يخص انشغالكم لنتمكن من تقديم المساعدة+masquer ",45644.61737268518,negative,1
Facebook,Espace Client + My Idoom,وشبيهم جميع المواقع لا تعمل فضاء الزبون و ايدوم و الدفع الالكتروني,masquer,45644.67583333333,negative,0
Facebook,Espace Client + My Idoom,Algérie Télécom - إتصالات الجزائر فضاء الزبون و تطبيق my Idoom حابسين !!!!,يرجى الدخول في اعدادات التطبيق Stockage Vider le cache Supprimer les données ثم الدخول في تطبيق مجددا ، او القيام بتحديث التطبيق وفي حال استمرار نفس الانشغال ، لا تترددوا في التواصل معنا عبر الرسائل الخاصة,45644.77684027778,negative,0
Facebook,Espace Client + My Idoom,تطبيق وش بيه حبس فضاء الزابون,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية ,45644.86005787037,negative,1
Facebook,Espace Client + My Idoom,تطبيق ايدوم متوقف و فضاء الزبون متوقف,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية ,45644.86394675926,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون لاتصالات الجزائر هل يوجد به خلل، لا يفتح عندي منذ عدة ايام. ارجو الرد من فضلكم.,يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم.-إلهام.,45645,negative,1
Facebook,Espace Client + My Idoom,السيت تاع فضاء الزبون او فالسمانة ما يمشيش,يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم.-إلهام.,45645,negative,1
